,trial,deck,counts,proportion
318,79,3,10,0.208
319,79,4,18,0.375
320,80,1,10,0.208
321,80,2,11,0.229
322,80,3,11,0.229
323,80,4,16,0.333
324,81,1,7,0.146
325,81,2,15,0.312
326,81,3,15,0.312
327,81,4,11,0.229
328,82,1,3,0.062
329,82,2,10,0.208
330,82,3,12,0.25
331,82,4,23,0.479
332,83,1,10,0.208
333,83,2,7,0.146
334,83,3,15,0.312
335,83,4,16,0.333
336,84,1,8,0.167
337,84,2,13,0.271
338,84,3,8,0.167
339,84,4,19,0.396
340,85,1,9,0.188
341,85,2,12,0.25
342,85,3,10,0.208
343,85,4,17,0.354
344,86,1,10,0.208
345,86,2,12,0.25
346,86,3,9,0.188
347,86,4,17,0.354
348,87,1,8,0.167
349,87,2,9,0.188
350,87,3,12,0.25
351,87,4,19,0.396
352,88,1,5,0.104
353,88,2,10,0.208
354,88,3,14,0.292
355,88,4,19,0.396
356,89,1,6,0.125
357,89,2,7,0.146
358,89,3,17,0.354
359,89,4,18,0.375
360,90,1,9,0.188
361,90,2,9,0.188
362,90,3,11,0.229
363,90,4,19,0.396
364,91,1,4,0.083
365,91,2,12,0.25
366,91,3,13,0.271
367,91,4,19,0.396
368,92,1,12,0.25
369,92,2,9,0.188
370,92,3,12,0.25
371,92,4,15,0.312
372,93,1,4,0.083
373,93,2,15,0.312
374,93,3,16,0.333
375,93,4,13,0.271
376,94,1,7,0.146
377,94,2,10,0.208
378,94,3,13,0.271
379,94,4,18,0.375
380,95,1,8,0.167
381,95,2,7,0.146
382,95,3,12,0.25
383,95,4,21,0.438
384,96,1,4,0.083
385,96,2,13,0.271
386,96,3,16,0.333
387,96,4,15,0.312
388,97,1,6,0.128
389,97,2,11,0.234
390,97,3,11,0.234
391,97,4,19,0.404
392,98,1,6,0.128
393,98,2,14,0.298
394,98,3,11,0.234
395,98,4,16,0.34
396,99,1,3,0.064
397,99,2,15,0.319
398,99,3,13,0.277
399,99,4,16,0.34
