Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
k_r[21]        -0.36  9.6e-3   0.74  -1.92  -0.83  -0.33   0.15   0.99   6000    1.0
k_r[22]         0.41  8.0e-3   0.43   -0.5   0.14   0.41   0.69   1.22   2900    1.0
k_r[23]         0.04    0.01    0.8  -1.68  -0.43   0.08   0.55   1.57   4571    1.0
k_r[24]        -0.08    0.01   0.75  -1.83  -0.54   0.02   0.44   1.16   4130    1.0
k_r[25]        -0.61    0.01    0.8  -2.21  -1.13  -0.59  -0.08   0.94   6000    1.0
k_r[26]         0.18  7.5e-3   0.39  -0.64  -0.06   0.19   0.44   0.92   2716    1.0
k_r[27]         -0.9    0.01   0.61  -2.19  -1.28  -0.86  -0.48   0.21   3651    1.0
k_r[28]        -0.28    0.01   0.92  -2.12  -0.88  -0.27   0.33   1.53   6000    1.0
k_r[29]        -0.61    0.01   0.95   -2.4  -1.26  -0.67  -0.01    1.4   6000    1.0
k_r[30]        -0.05    0.01   0.78  -1.74  -0.55   0.02   0.49   1.36   4281    1.0
k_r[31]         0.92    0.02   0.95  -1.28   0.37   1.07   1.58   2.44   2735    1.0
k_r[32]        -0.53    0.01   0.83  -2.21  -1.05  -0.54  -0.02   1.16   3455    1.0
k_r[33]      -2.9e-3  7.9e-3    0.5  -1.07  -0.29   0.03   0.32   0.88   3902    1.0
k_r[34]        -0.03  8.7e-3   0.56  -1.26  -0.35   0.02   0.35   0.94   4151    1.0
k_r[35]      -8.0e-3    0.01   0.83  -1.88  -0.49   0.07   0.55   1.44   4072    1.0
k_r[36]         0.43    0.01   0.87  -1.51  -0.11   0.52   1.04   1.94   3780    1.0
k_r[37]         0.65  7.9e-3    0.4  -0.14    0.4   0.65   0.92   1.45   2550    1.0
ep_pos_r[0]      1.0  9.1e-3   0.36   0.36   0.75   0.98   1.24    1.8   1598    1.0
ep_pos_r[1]     1.47  9.8e-3   0.47   0.66   1.15   1.44   1.75   2.47   2257    1.0
ep_pos_r[2]    -0.82  9.4e-3   0.43  -1.81  -1.08  -0.77  -0.53  -0.11   2039    1.0
ep_pos_r[3]    -0.19  9.8e-3   0.43  -1.13  -0.43  -0.16   0.09   0.57   1901    1.0
ep_pos_r[4]     1.39  9.0e-3   0.44   0.63   1.09   1.35   1.66   2.35   2370    1.0
ep_pos_r[5]    -0.16  7.1e-3   0.35  -0.92  -0.37  -0.15   0.07   0.46   2405    1.0
ep_pos_r[6]    -0.64    0.02   0.49  -1.77  -0.91  -0.58  -0.31   0.13    904    1.0
ep_pos_r[7]     0.81    0.01   0.37   0.21   0.57   0.77   1.01   1.64   1113    1.0
ep_pos_r[8]    -1.41  9.3e-3   0.52  -2.54  -1.74  -1.38  -1.03  -0.51   3107    1.0
ep_pos_r[9]      1.0  8.5e-3    0.4   0.33   0.73   0.97   1.22   1.89   2157    1.0
ep_pos_r[10]   -0.29  9.0e-3   0.37   -1.1   -0.5  -0.26  -0.05   0.35   1652    1.0
ep_pos_r[11]   -0.41    0.01   0.49  -1.48  -0.71  -0.39   -0.1   0.49   1448    1.0
ep_pos_r[12]    0.79  9.4e-3   0.39   0.11   0.53   0.76   1.01   1.69   1722    1.0
ep_pos_r[13]    1.53  9.9e-3   0.46    0.7   1.21    1.5   1.82   2.49   2152    1.0
ep_pos_r[14]   -1.38    0.01    0.5  -2.44   -1.7  -1.35  -1.03   -0.5   2083    1.0
ep_pos_r[15]    0.44  9.3e-3   0.36  -0.27   0.22   0.44   0.66   1.19   1547    1.0
ep_pos_r[16]   -1.07  9.5e-3   0.46  -2.08  -1.34  -1.04  -0.74  -0.28   2341    1.0
ep_pos_r[17]   -0.24  8.7e-3   0.36  -1.05  -0.45  -0.21 6.0e-3   0.39   1747    1.0
ep_pos_r[18]    0.54  8.9e-3   0.35  -0.11   0.32   0.52   0.73   1.32   1534    1.0
ep_pos_r[19]   -1.14  9.5e-3   0.44  -2.12  -1.41   -1.1  -0.83  -0.38   2152    1.0
ep_pos_r[20]    1.26    0.01   0.43   0.51   0.96   1.23   1.52   2.18   1503    1.0
ep_pos_r[21]    0.35  7.5e-3   0.28  -0.16   0.16   0.34   0.52   0.94   1399    1.0
ep_pos_r[22]   -0.88  7.5e-3   0.41  -1.79  -1.13  -0.84  -0.59  -0.18   3019    1.0
ep_pos_r[23]    0.72  9.3e-3   0.36   0.08   0.47   0.69   0.92   1.56   1528    1.0
ep_pos_r[24]   -0.48  7.8e-3   0.37  -1.32  -0.69  -0.44  -0.22   0.14   2256    1.0
ep_pos_r[25]   -0.47  8.9e-3   0.45   -1.5  -0.72  -0.42  -0.17   0.28   2550    1.0
ep_pos_r[26]   -1.43    0.01   0.51  -2.51  -1.75   -1.4  -1.07  -0.54   2283    1.0
ep_pos_r[27]   -1.25  9.5e-3   0.51  -2.35  -1.58  -1.21  -0.89  -0.38   2836    1.0
