Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
phi_r[3]       -0.23    0.01   0.78  -1.81  -0.67  -0.25   0.19   1.51   3942    1.0
phi_r[4]       -0.79  9.9e-3   0.77  -2.36  -1.27  -0.77  -0.35   0.87   6000    1.0
phi_r[5]       -0.07  9.0e-3   0.36  -0.73   -0.3  -0.08   0.14   0.71   1604    1.0
phi_r[6]       -0.79    0.02   0.81  -2.36  -1.29  -0.83  -0.38   0.99   2756    1.0
phi_r[7]        0.13  7.2e-3   0.43  -0.67  -0.16   0.12    0.4    1.0   3648    1.0
phi_r[8]      3.4e-5 10.0e-3    0.3  -0.59  -0.19-9.6e-4   0.19   0.59    920   1.01
phi_r[9]       -0.75  9.4e-3   0.73  -2.29  -1.19  -0.72   -0.3   0.75   6000    1.0
phi_r[10]       0.63    0.02    0.9  -1.19  -0.06   0.76   1.28   2.17   1696    1.0
phi_r[11]       0.25  8.4e-3   0.38  -0.43-2.4e-3   0.24   0.47   1.07   2038    1.0
phi_r[12]      -0.12  9.1e-3   0.54  -1.19  -0.45  -0.12   0.22   0.96   3553    1.0
phi_r[13]      -0.37    0.02   0.77  -1.89  -0.73  -0.37  -0.07    1.7   1413    1.0
phi_r[14]      -0.79    0.03   0.68  -2.31   -1.2   -0.7  -0.29   0.32    414   1.01
phi_r[15]      -0.46    0.01    0.7  -1.88  -0.85  -0.48  -0.11   1.06   3864    1.0
phi_r[16]       0.18 10.0e-3   0.42  -0.62  -0.07   0.17   0.43   1.03   1770    1.0
phi_r[17]       0.06    0.01   0.61  -1.36  -0.28   0.08   0.45   1.16   3410    1.0
phi_r[18]      -0.13  8.5e-3   0.32  -0.77  -0.33  -0.13   0.07   0.46   1363    1.0
phi_r[19]      -0.59    0.02   0.87  -2.18   -1.1  -0.63   -0.2   1.61   2249    1.0
phi_r[20]        0.2  8.5e-3   0.37  -0.49  -0.06   0.19   0.43   0.98   1948    1.0
phi_r[21]      -0.67    0.01   0.63  -2.14  -1.03  -0.58  -0.24   0.36   3789    1.0
phi_r[22]      -0.93    0.02   0.86  -2.49  -1.42  -0.97  -0.56   1.46   1449    1.0
phi_r[23]       0.04    0.01    0.4   -0.7  -0.24   0.03    0.3   0.86   1067    1.0
phi_r[24]      -0.46    0.01   0.72  -2.04  -0.88  -0.43-2.3e-3    0.9   3919    1.0
phi_r[25]      -0.13    0.02   0.99  -1.99  -0.76  -0.25   0.49   1.97   2106    1.0
phi_r[26]       0.05  9.3e-3   0.37  -0.62  -0.18   0.04   0.26   0.87   1568    1.0
phi_r[27]       0.65    0.01   0.69  -0.59    0.1   0.71   1.16   1.92   2414    1.0
phi_r[28]       0.35  9.4e-3   0.36  -0.33   0.11   0.33   0.57   1.11   1470    1.0
phi_r[29]      -0.66    0.01   0.83  -2.22  -1.17  -0.69  -0.22   1.36   3884    1.0
phi_r[30]      -0.03    0.01   0.63  -1.59  -0.36   0.07    0.4   0.96   2320    1.0
phi_r[31]      -0.84  8.3e-3   0.64  -2.31  -1.23  -0.77   -0.4   0.23   6000    1.0
phi_r[32]        0.2    0.02   0.94  -1.82  -0.44   0.39    0.9   1.66   1895    1.0
phi_r[33]      -0.48    0.02   0.86  -2.17  -1.02   -0.5   0.04   1.29   2922    1.0
phi_r[34]       0.22  8.5e-3   0.46  -0.63  -0.08    0.2    0.5   1.23   2942    1.0
phi_r[35]      -1.11  9.7e-3   0.62  -2.53  -1.47  -1.05  -0.69  -0.07   4150    1.0
phi_r[36]        0.8  8.8e-3   0.49  -0.16   0.47   0.81   1.13   1.78   3139    1.0
phi_r[37]       -0.8  8.9e-3   0.69  -2.29  -1.19  -0.73  -0.35   0.43   6000    1.0
phi_r[38]       1.19  9.8e-3   0.46   0.26    0.9   1.18   1.47   2.11   2178    1.0
phi_r[39]      -0.69    0.04   0.71  -2.21  -1.14  -0.59  -0.21   0.54    363    1.0
phi_r[40]       2.29    0.02    0.6   1.26   1.91   2.26   2.65   3.51   1320    1.0
phi_r[41]       0.08  9.1e-3   0.37   -0.6  -0.18   0.06    0.3   0.84   1670    1.0
phi_r[42]       2.08  7.8e-3    0.6   0.93   1.68   2.07   2.46   3.28   6000    1.0
k_r[0]         -0.16    0.01   0.86  -2.02  -0.68  -0.09   0.42   1.36   6000    1.0
k_r[1]          1.36  7.0e-3    0.4   0.58   1.09   1.35   1.61   2.18   3310    1.0
k_r[2]          -0.7  8.1e-3   0.63  -2.11  -1.09  -0.63  -0.25   0.34   6000    1.0
k_r[3]         -0.79    0.01   0.79  -2.39   -1.3  -0.78  -0.28   0.76   6000    1.0
k_r[4]          0.69    0.01   0.76  -1.12   0.29   0.78   1.19   1.97   4136    1.0
k_r[5]          0.16  5.0e-3   0.39  -0.65  -0.09   0.18   0.43   0.88   6000    1.0
k_r[6]          0.24  9.1e-3    0.7   -1.4  -0.14   0.34   0.73   1.34   6000    1.0
k_r[7]         -0.04  9.1e-3    0.7  -1.65  -0.45   0.03   0.45   1.13   6000    1.0
k_r[8]         -0.18  7.6e-3   0.45  -1.15  -0.46  -0.15   0.13   0.64   3500    1.0
k_r[9]         -0.27    0.01   0.91  -2.11  -0.89  -0.23   0.41   1.35   6000    1.0
k_r[10]         1.37  7.4e-3    0.4    0.6    1.1   1.36   1.63   2.21   3015    1.0
k_r[11]        -0.02  8.0e-3   0.62  -1.44  -0.37   0.04    0.4   1.04   6000    1.0
k_r[12]        -0.78  9.7e-3   0.75  -2.36  -1.26  -0.76  -0.26   0.57   6000    1.0
k_r[13]        -0.53  9.1e-3   0.71  -2.07  -0.98  -0.48  -0.03   0.68   6000    1.0
k_r[14]         0.83  7.1e-3   0.37   0.09    0.6   0.83   1.06   1.53   2652    1.0
k_r[15]        -0.08  8.1e-3   0.63  -1.54  -0.42 8.2e-3   0.36   0.91   6000    1.0
k_r[16]        -0.34    0.03   1.15   -2.3  -1.15  -0.52   0.36   2.02   1800    1.0
k_r[17]          0.3    0.02   0.81  -1.62  -0.13   0.43   0.86   1.55   2857    1.0
k_r[18]        -1.05  8.9e-3   0.69   -2.5  -1.49  -1.01  -0.55   0.16   6000    1.0
k_r[19]        -0.62  9.4e-3   0.73  -2.17  -1.09  -0.56  -0.09   0.64   6000    1.0
k_r[20]         0.03    0.01   1.03  -1.99  -0.67   0.06   0.77   1.93   6000    1.0
k_r[21]         0.52  5.5e-3   0.34  -0.17    0.3   0.53   0.75   1.15   3750    1.0
k_r[22]         -1.0  9.0e-3   0.69  -2.52  -1.44  -0.95  -0.51   0.23   6000    1.0
k_r[23]         0.52  6.0e-3   0.34  -0.18    0.3   0.53   0.75   1.19   3275    1.0
k_r[24]        -0.15    0.01   1.05  -2.12  -0.87  -0.19   0.57    1.9   6000    1.0
k_r[25]         -0.1    0.01    0.8  -1.83  -0.62  -0.06   0.45   1.37   6000    1.0
k_r[26]        -0.25    0.01   1.02  -2.09  -0.93  -0.31   0.33   2.06   6000    1.0
k_r[27]        -0.53    0.01   0.78  -2.15  -1.03   -0.5 5.2e-3   0.92   6000    1.0
k_r[28]         0.27    0.01   0.88   -1.7  -0.26   0.39   0.89   1.72   6000    1.0
k_r[29]        -0.14    0.01   0.94  -2.07  -0.76   -0.1   0.53   1.57   6000    1.0
k_r[30]         1.28    0.01   0.68  -0.59   1.03   1.37   1.69   2.29   2399    1.0
k_r[31]        -1.09  8.8e-3   0.68  -2.53  -1.51  -1.05  -0.63   0.15   6000    1.0
k_r[32]        -0.15    0.01   0.82  -1.96  -0.65  -0.05   0.46   1.14   3436    1.0
k_r[33]       6.3e-5  8.9e-3   0.69  -1.59  -0.38    0.1   0.48    1.1   6000    1.0
k_r[34]         0.98  6.0e-3   0.34    0.3   0.76   0.98    1.2   1.65   3215    1.0
k_r[35]         1.36  6.6e-3   0.34   0.71   1.13   1.34   1.57   2.06   2692    1.0
k_r[36]         0.08  8.2e-3    0.5  -1.08  -0.18   0.13   0.41   0.91   3617    1.0
k_r[37]         1.11  7.0e-3   0.38   0.35   0.87   1.11   1.36    1.9   2982    1.0
k_r[38]        -1.11  8.4e-3   0.65  -2.51  -1.52  -1.06  -0.64   0.02   6000    1.0
k_r[39]          0.1    0.01   0.52  -1.08  -0.18   0.17   0.45   0.93   1268    1.0
k_r[40]         0.02    0.01   0.83  -1.83  -0.51   0.12   0.62   1.43   6000    1.0
k_r[41]        -1.09  9.0e-3   0.69  -2.56  -1.53  -1.05  -0.62    0.2   6000    1.0
k_r[42]        -0.33    0.01    0.8  -2.06  -0.83  -0.26   0.23   1.05   6000    1.0
ep_pos_r[0]    -0.04  6.3e-3   0.34   -0.7  -0.26  -0.05   0.17   0.63   2921    1.0
ep_pos_r[1]    -0.89  6.8e-3    0.4   -1.8  -1.12  -0.85  -0.61  -0.22   3443    1.0
ep_pos_r[2]     1.27  8.9e-3   0.52   0.39   0.89   1.22   1.58   2.44   3406    1.0
ep_pos_r[3]     0.65  6.5e-3   0.42  -0.03   0.36    0.6   0.89   1.59   4073    1.0
ep_pos_r[4]    -0.85  8.4e-3    0.5   -2.0  -1.13   -0.8   -0.5  -0.05   3560    1.0
ep_pos_r[5]    -1.34  8.2e-3   0.48  -2.39  -1.64   -1.3   -1.0  -0.51   3446    1.0
ep_pos_r[6]     0.91  8.3e-3   0.46   0.18   0.59   0.85   1.17   1.99   3060    1.0
ep_pos_r[7]    -0.99  7.2e-3   0.43  -1.97  -1.24  -0.94  -0.68  -0.28   3556    1.0
ep_pos_r[8]    -0.96  8.3e-3   0.37  -1.79  -1.17  -0.92   -0.7  -0.36   1976    1.0
ep_pos_r[9]     0.19  7.3e-3   0.42  -0.59  -0.08   0.17   0.43    1.1   3338    1.0
ep_pos_r[10]   -1.58  9.3e-3   0.53  -2.71  -1.91  -1.55  -1.21  -0.63   3258    1.0
ep_pos_r[11]   -0.72  6.8e-3   0.36  -1.53  -0.93  -0.68  -0.48  -0.14   2782    1.0
ep_pos_r[12]     1.0  7.8e-3   0.46   0.24   0.68   0.95   1.27   2.06   3497    1.0
ep_pos_r[13]     1.2  8.3e-3   0.49   0.39   0.86   1.16   1.49   2.31   3439    1.0
ep_pos_r[14]    1.08  7.9e-3   0.49   0.27   0.72   1.02   1.37   2.17   3886    1.0
ep_pos_r[15]    1.18  8.9e-3   0.49   0.34   0.83   1.14   1.48   2.29   3077    1.0
ep_pos_r[16]    0.34  9.3e-3   0.34  -0.21   0.11    0.3   0.51   1.18   1323    1.0
ep_pos_r[17]   -0.54  7.6e-3   0.42  -1.41  -0.79  -0.52  -0.27   0.25   3088    1.0
ep_pos_r[18]   -0.38  6.3e-3   0.27  -0.94  -0.55  -0.37   -0.2   0.09   1773    1.0
ep_pos_r[19]    0.94  8.0e-3   0.47   0.19    0.6   0.87    1.2   2.04   3502    1.0
ep_pos_r[20]    0.07  6.3e-3    0.3  -0.45  -0.12   0.05   0.24   0.72   2295    1.0
ep_pos_r[21]    -1.3  8.1e-3   0.48  -2.36  -1.58  -1.25  -0.95  -0.51   3495    1.0
ep_pos_r[22]    1.03  7.9e-3   0.48   0.25   0.69   0.98   1.31   2.13   3746    1.0
