Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ls_init_r[28]    0.33    0.01    0.7  -0.71  -0.18   0.19   0.74   1.97   3803    1.0
ls_init_r[29]    0.24    0.01   0.71  -0.82  -0.27    0.1   0.67   1.89   3825    1.0
ls_init_r[30]    0.48    0.01   0.68  -0.53  -0.02   0.36   0.88    2.1   3594    1.0
ls_init_r[31]    0.63    0.01   0.67  -0.41   0.13   0.55   1.06   2.13   4231    1.0
ls_init_r[32]    0.27    0.01   0.57  -0.53  -0.13   0.15   0.55   1.68   2494    1.0
ls_init_r[33]     0.5    0.01   0.65  -0.44   0.03   0.37   0.86   2.06   3860    1.0
ls_init_r[34]    0.69    0.01   0.64   -0.3    0.2    0.6   1.09   2.14   3652    1.0
ls_init_r[35]   -0.45  8.2e-3   0.39  -1.16  -0.66  -0.46  -0.25   0.38   2234    1.0
ls_init_r[36]    -0.7    0.02   0.49  -1.42  -0.96  -0.75  -0.54   0.76    941    1.0
ls_init_r[37]   -0.06    0.03   0.87  -1.27  -0.75  -0.24   0.54   1.95   1019    1.0
theta_ws_r[0]    0.07    0.01   0.95  -1.77  -0.55   0.08   0.73   1.92   6000    1.0
theta_ws_r[1]   -0.43    0.02   1.01  -2.21  -1.11  -0.53   0.19    1.7   2108    1.0
theta_ws_r[2]    0.08    0.01   0.96  -1.81  -0.57   0.09   0.71   1.92   6000    1.0
theta_ws_r[3]   -0.07    0.02   0.98  -1.89  -0.74   -0.1   0.61   1.88   2109    1.0
theta_ws_r[4]    0.13    0.01   0.94  -1.79  -0.48   0.13   0.76   1.91   6000    1.0
theta_ws_r[5]    0.09    0.01   0.95   -1.8  -0.54    0.1   0.72   1.93   6000    1.0
theta_ws_r[6]    0.09    0.01   0.96  -1.77  -0.53   0.09   0.71   1.97   6000    1.0
theta_ws_r[7]    0.09    0.01   0.95   -1.8  -0.54   0.08   0.73    2.0   6000    1.0
theta_ws_r[8]   -0.14    0.02   1.04   -2.1  -0.85  -0.18   0.57   1.91   2720    1.0
theta_ws_r[9]   -0.13    0.02   0.97  -2.02  -0.77  -0.16   0.52   1.85   2793    1.0
theta_ws_r[10]  -0.07    0.02   0.98  -1.95  -0.74   -0.1    0.6   1.85   2600    1.0
theta_ws_r[11]    0.1    0.01   0.96  -1.81  -0.52    0.1   0.74   2.04   6000    1.0
theta_ws_r[12]   0.04    0.01    1.0  -1.95  -0.63   0.06   0.73   1.99   6000    1.0
theta_ws_r[13]   0.02    0.01   0.95  -1.78  -0.61 3.6e-3   0.67   1.91   6000    1.0
theta_ws_r[14]   0.04    0.01   0.96  -1.87   -0.6   0.02   0.71   1.91   6000    1.0
theta_ws_r[15]    0.1    0.01   0.96  -1.82  -0.52   0.09   0.73   2.03   6000    1.0
theta_ws_r[16]   0.02    0.01   0.98  -1.88  -0.63   0.02   0.68   1.92   6000    1.0
theta_ws_r[17]    0.1    0.01   0.96  -1.83  -0.54   0.11   0.72   1.97   6000    1.0
theta_ws_r[18]    0.1    0.01   0.95  -1.79  -0.55    0.1   0.74    1.9   6000    1.0
theta_ws_r[19]   0.08    0.01   0.96  -1.89  -0.54   0.08   0.72   1.99   6000    1.0
theta_ws_r[20]   0.05    0.01   1.02  -1.93  -0.67   0.06   0.74   2.03   6000    1.0
theta_ws_r[21]    0.1    0.01   0.94  -1.73  -0.51    0.1   0.73   1.94   6000    1.0
theta_ws_r[22]   0.01    0.01    1.0  -1.94  -0.66 5.1e-3    0.7   1.97   6000    1.0
theta_ws_r[23]   0.05    0.01   1.02  -1.93  -0.63   0.05   0.74   2.06   6000    1.0
theta_ws_r[24]  -0.14    0.02   1.08   -2.2   -0.9  -0.16   0.63   1.99   2426    1.0
theta_ws_r[25]   0.14    0.01   0.94  -1.72  -0.47   0.14   0.76   2.04   6000    1.0
