Inference for Stan model: wsls_r_model_f1486bb6abe54d2253b4515ef3604cc9.
3 chains, each with iter=7000; warmup=5000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ev_init_r[16]     0.3    0.45   0.89  -1.49  -0.13  -0.11   0.91   1.99      4   1.31
ev_init_r[17]    0.09     0.1   0.68  -1.53  -0.27    0.3   0.32   1.46     47   1.06
ev_init_r[18]  5.0e-3    0.15   0.82  -1.76  -0.44   0.18   0.24   1.57     31   1.11
ev_init_r[19]    0.39    0.46   0.81  -1.37  -0.26   0.53    1.1   1.44      3   1.37
ev_init_r[20]    0.12    0.07   0.68  -1.36  -0.15   0.09   0.45   1.57     92   1.03
ev_init_r[21]    0.02    0.85    1.2  -1.41  -1.06  -0.21    0.8   2.63      2   2.03
ev_init_r[22]    0.62    0.53   1.05  -1.44   0.34   0.38   1.06   3.23      4   1.51
ev_init_r[23]   -0.08    0.77   1.09  -1.43  -1.18  -0.06   0.88   1.96      2   1.88
ev_init_r[24]    0.47    0.36   1.13  -1.66  -0.19   0.59   0.64   3.11     10   1.53
ev_init_r[25]    0.88    0.66   0.94   -1.4   0.32   1.14   1.68   1.77      2   1.54
ev_init_r[26]   -0.03    0.11   0.69  -1.54  -0.38   0.13   0.16   1.44     38   1.09
ev_init_r[27]   -0.57    0.45   0.78  -1.51   -1.2  -0.76  -0.09   1.29      3    1.3
ev_init_r[28]   -0.29    0.14   0.73  -1.67  -0.63   -0.5    0.1   1.46     26   1.05
ev_init_r[29]    0.35     0.6   1.04  -1.84  -0.43   0.57   1.27   1.69      3   1.45
ev_init_r[30]    0.32    0.78    1.1  -1.63  -0.53   0.17   1.56   1.57      2    1.8
ev_init_r[31]   -0.67    0.89   1.25  -3.77  -1.45-4.8e-3   0.04   1.37      2   1.99
ev_init_r[32]   -0.31    0.23   0.68  -1.36  -0.63  -0.61   0.09   1.35      9    1.1
